ORG_EIN,ORG_NAME,STREET,CITY,STATE,ZIP,NTEE_CD,SORT_NAME
010153868,SAGADAHOC AGRICULTURAL & HORTICULTURAL SOCIETY,PO BOX 236,TOPSHAM,ME,04086-0236,K20,NA
010375969,MAINE AQUACULTURE ASSOCIATION,339 WATER ST,GARDINER,ME,04345-2160,K20,NA
010378369,BIDDEFORD FOOD PANTRY,162 ELM ST,BIDDEFORD,ME,04005-2349,P60,NA
010435352,MAINE AGRICULTURE IN THE CLASSROOM ASSOCIATION,28 STATE HOUSE STA,AUGUSTA,ME,04333-0028,K12,MAITCA
010437478,BATH AREA FOOD BANK,PO BOX 65,BATH,ME,04530-0065,K31,NA
010456472,TRI-TOWN FOOD CUPBOARD,PO BOX 68,HARTLAND,ME,04943-0068,P20Z,NA
010462772,BON APETIT-COMMUNITY MEAL PROGRAM,PO BOX 1091,BIDDEFORD,ME,04005-1091,K35,NA
010475478,HALLOWELL FOODBANK INC,PO BOX 214,HALLOWELL,ME,04347-0214,P60,NA
010481846,JACKSON FOOD PANTRY,969 MOOSEHEAD TRL,JACKSON,ME,04921-3001,K31,NA
010482457,HAMPDEN NEIGHBORHOOD FOOD CUPBOARD,PO BOX 9,HAMPDEN,ME,04444-0009,K31,NA
010484568,OXFORD HILLS FOOD PANTRY,35 PARIS ST,NORWAY,ME,04268-5630,K31,NA
010484793,TABLE OF PLENTY,PO BOX 232,BERWICK,ME,03901-0232,K30,NA
010487762,FRIENDSHIP-CUSHING FOOD PANTRY,PO BOX 237,FRIENDSHIP,ME,04547-0237,K31Z,NA
010495330,NEIGHBORS CUPBOARD INC,PO BOX 742,WINTERPORT,ME,04496-0742,K31Z,NA
010498185,WATERFORD WORLDS FAIR ASSOCIATION INC,PO BOX 174,N WATERFORD,ME,04267-0174,K99,NA
010513658,CARIBOU BREAD OF LIFE SOUP KITCHEN,62 COLLINS ST,CARIBOU,ME,04736-2404,K35,NA
010516157,FRIENDS OF VOICES FROM THE HEART,PO BOX 926,PORTSMOUTH,NH,03802-0926,K31,NA
010518659,SANFORD FOOD PANTRY,PO BOX 732,SPRINGVALE,ME,04083-0732,K31,NA
010531368,MAINE ALTERNATIVE AGRICULTURE ASSOCIATION,94 WAUGH RD,STARKS,ME,04911-4741,K20,NA
010538609,LOAVES AND FISHES FOOD PANTRY,PO BOX 1672,ELLSWORTH,ME,04605-5172,K31,NA
010542223,WINTHROP FOOD PANTRY,PO BOX 82,WINTHROP,ME,04364-0082,K31,NA
010543294,TRINITY JUBILEE CENTER INC,247 BATES ST,LEWISTON,ME,04240-7331,K30,NA
010544608,CLEARWATER MINISTRIES INC,19 HENNESSEY RD,INDUSTRY,ME,04938-4120,K31,NA
010545734,AUGUSTA FOOD BANK,161 MOUNT VERNON AVE,AUGUSTA,ME,04330-4230,K31,NA
010547406,BOOTHBAY REGION FOOD PANTRY,PO BOX 63,EAST BOOTHBAY,ME,04544-0063,P20,NA
010553872,WESTBROOK COMMUNITY FOOD & RESOURCE CENTER,426 BRIDGE ST,WESTBROOK,ME,04092-3189,K31,NA
010574675,COMMON GROUND FARM INC,PO BOX 148,BEACON,NY,12508-0148,K99,NA
010636109,DEERFIELD VALLEY FOOD PANTRY INCORPORATED,PO BOX 1743,WILMINGTON,VT,05363-1743,K30,NA
010651061,AMERICAN IRIS SOCIETY,103 TOWERS BLVD,CHEEKTOWAGA,NY,14227-3140,K20,WESTERN NEW YORK IRIS SOCIETY
010659307,JEFFERSON PARK MINISTRIES INC,PO BOX 163,ELIZABETH,NJ,07207-0163,K34,JPM INC
010694939,PLYMOUTH COMMUNITY FOOD PANTRY,20 DEWEY AVE,TERRYVILLE,CT,06786-6324,K31,NA
010703061,GRACE CARE INCORPORATED,28A INDUSTRIAL BLVD,MEDFORD,NY,11763-2250,K31,NA
010712431,HILLSIDE FOOD OUTREACH INC,325 W PATENT RD,MOUNT KISCO,NY,10549-4958,K30,NA
010726924,LOAVES & FISHES FOOD PANTRY INC,PO BOX 1,AYER,MA,01432-0001,P60,NA
010755334,MASSACHUSETTS QUARTER HORSE ASSOCIATION CORP,PO BOX 456,WINCHENDON,MA,01475-0456,K20,NA
010760865,LAMOILLE COMMUNITY FOOD SHARE INC,197 HARREL ST,MORRISVILLE,VT,05661-4491,K31,NA
016176483,MURIEL C CHURCH SPRING HILL FARM TR,175 TOWLE RD,CHESTER,NH,03036-4151,K99,RICHARD LEBLANCE TTEE
020311890,WOLFEBORO AREA MEALS ON WHEELS INC,PO BOX 453,WOLFEBORO,NH,03894-0453,K36Z,NA
020342196,ROCKINGHAM NUTRITION & MEALS ON WHEELS PROGRAM,106 NORTH RD,BRENTWOOD,NH,03833-6614,K36Z,NA
020358727,NORTHEAST ORGANIC FARMING ASSOCIATION OF NEW HAMPSHIRE,84 SILK FARM ROAD,CONCORD,NH,03301-8311,K20,NA
020371174,VETERANS OF FOREIGN WARS DEPARTMENT OF NEW HAMPSHIRE,52 FARAWAY RD,DALTON,NH,03598-5312,K20,10675 WHITEFIELD POST
020387107,L I F E MINISTRIES INC,PO BOX 476,WOLFEBORO,NH,03894-0476,K31,NA
020398957,DOVER COOPERATIVE MINISTRIES COUNCIL INC,218 CENTRAL AVE,DOVER,NH,03820-4128,K30,NA
020465936,TWIN RIVERS FOOD PANTRY,2 CENTRAL STREET,FRANKLIN,NH,03235-1176,K31Z,NA
020470606,NEW DURHAM FOOD PANTRY,PO BOX 156,NEW DURHAM,NH,03855-0156,K31,NA
020476902,COMMUNITY FOOD PANTRY INC,PO BOX 228,SOMERSWORTH,NH,03878-0228,P20Z,NA
020501490,FALL MOUNTAIN FRIENDLY MEALS,PO BOX 191,ALSTEAD,NH,03602-0191,K30,NA
020515587,PROVISIONS FOOD PANTRY & THRIFT STORE,1895 ROUTE 16,WEST OSSIPEE,NH,03890-0000,P60,NA
020516334,THE RINDGE FOOD PANTRY,PO BOX 738,RINDGE,NH,03461-0738,K31,NA
020522432,NEW HAMPSHIRE GIANT PUMPKIN GROWERS ASSOCIATION,6 S MAST ST,GOFFSTOWN,NH,03045-2193,K20,NA
020530024,HENNIKER FOOD PANTRY,PO BOX 55,HENNIKER,NH,03242-0055,K31,NA
020554678,LACEY FOOD BANK INC,PO BOX 625,FORKED RIVER,NJ,08731-0625,K31,NA
020579628,GODS PROVISION INC,14 TREMONT AVE,BRENTWOOD,NY,11717-1613,K31,NA
020582129,EMPIRE ALPACA ASSOCIATION INC,11579 WESSIE ROAD,PRATTSBURGH,NY,14873-9739,K20,NA
020684220,FOOD BANK OF LOWER FAIRFIELD COUNTY INC,461 GLENBROOK RD,STAMFORD,CT,06906-1820,K31,NA
026012357,CHESHIRE FAIR ASSOC INC,247 MONADNOCK HWY,SWANZEY,NH,03446-2134,K20,NA
030170605,WESTMINSTER AQUEDUCT SOCIETY,PO BOX 31,WESTMINSTER,VT,05158-0031,K20,NA
030237571,FRANKLIN COUNTY SENIOR CENTER INC,75 MESSENGER ST,SAINT ALBANS,VT,05478-1522,K36,NA
030269558,DANVILLE SENIOR ACTION CENTER INC,34 PARK ST,DANVILLE,VT,05828-0000,K36,NA
030278834,BURLINGTON FARMERS MARKET ASSOCIATION INC,PO BOX 4117,BURLINGTON,VT,05406-4117,K20,NA
030307048,BELLOWS FALLS AREA SENIOR CENTER INC,18 TUTTLE ST,BELLOWS FALLS,VT,05101-1226,K30Z,NA
030324429,RANDOLPH AREA FOOD SHELF,12 PRINCE ST STE 3,RANDOLPH,VT,05060-1164,K31Z,NA
030330441,ARLINGTON FOOD SHELF INC,PO BOX 723,ARLINGTON,VT,05250-0723,P60,NA
030335781,COMMUNITY FOOD CUPBOARD INC,PO BOX 864,MANCHESTR CTR,VT,05255-0864,K31Z,MEG COSTANZO
030343945,BENNINGTON COUNTY MEALS PROGRAM,124 PLEASANT STREET,BENNINGTON,VT,05201-3025,K36,NA
030345712,WATERBURY FARMERS MARKET INC,9 HIGH ST,WATERBURY,VT,05676-1406,K99,NA
030352620,STOWE FARMERS MARKET INC,3420 MOUNTAIN RD,STOWE,VT,05672-0000,K20,NA
030353493,RUTLAND AREA FOODSHELF,65 RIVER ST,RUTLAND,VT,05701-3934,K30,NA
030358691,CAMBRIDGE COMMUNITY FOOD SHELF INC,PO BOX 75,JEFFERSONVLLE,VT,05464-0075,K31,NA
030358702,ONION RIVER FOOD SHELF INC,OLD SCHOOLHOUSE COMMON,MARSHFIELD,VT,05658-0000,K31,NA
030361463,VERMONT AGRICULTURAL CREDIT CORP,58 E STATE ST STE 5,MONTPELIER,VT,05602-3044,K20,NA
030369844,GREATER BENNINGTON INTERFAITH COMMUNITY SERVICES INC,PO BOX 702,BENNINGTON,VT,05201-0702,K31,NA
030501146,GREATER WEST HEMPSTEAD COMMUNITY FOOD PROGRAM INC,236 ELM ST,W HEMPSTEAD,NY,11552-3223,K31,NA
030550892,SOUTH PORTLAND FOOD CUPBOARD,130 THADEUS STREET,SOUTH PORTLAND,ME,04106-6249,K31,RIEMENSNIDER SYBIL
030556099,FREEDOM FARM COMMUNITY,2407 MT HOPE RD,MIDDLETOWN,NY,10940-7315,K31,NA
036010726,ORLEANS COUNTY FARM BUREAU ASSN INC,785 TETREAULT RD,NEWPORT CTR,VT,05857-9633,K20,NA
040435222,HOULTON FAIR ASSOCIATION,PO BOX 1454,HOULTON,ME,04730-5454,K20,NA
042134813,HEALTH ALLIANCE GUILD,68 MAIN STREET,LEOMINSTER,MA,01453-7894,K30Z,NA
042504166,SPENCER AGRIC ASSOC INC,48 SMITHVILLE ROAD,SPENCER,MA,01562-0000,K20,SPENCER FAIR
042596213,SOUTH SHORE ELDER SERVICES INC,350 GRANITE STREET,BRAINTREE,MA,02184-3958,K36Z,NA
042607187,HEATH AGRICULTURAL SOCIETY INC,PO BOX 10,HEATH,MA,01346-0010,K20,NA
042622200,CHARITY GUILD INC,501 MAIN ST,BROCKTON,MA,02301-6031,K310,NA
042750660,AMERICAN IRIS SOCIETY,337 ACTON ST,CARLISLE,MA,01741-1432,K20,IRIS SOCIETY OF MASSACHUSETTS
042768119,BREAD & ROSES INC,58 NEWBURY ST,LAWRENCE,MA,01840-1714,K36Z,NA
042817427,FOXBORO DISCRETIONARY FUND INC,PO BOX 636,FOXBORO,MA,02035-0636,K30,NA
042868110,THE NORTHEAST SCOTCH HIGHLAND BREEDERS ASSOCIATION,54 BRISTOL ST,DENNIS,MA,02638-2115,K20,NA
043071457,WORCESTER COUNTY FOOD BANK INC,474 BOSTON TPKE,SHREWSBURY,MA,01545-3948,K31Z,NA
043102783,LYNN CITY MISSION INC,100 CENTRE ST APT 315,BROOKLINE,MA,02446-2819,K30,NA
043116971,RAYNHAM FOOD BASKET,PO BOX 421,RAYNHAM CENTER,MA,02768-0000,K99,NA
043118239,NEIGHBORHOOD SUPPER,PO BOX 112,LITTLETON,MA,01460-0112,K35,NA
043123966,SOULE HOMESTEAD EDUCATION CENTER INC,46 SOULE ST,MIDDLEBOROUGH,MA,02346-2622,K20,NA
043128840,BEDFORD COMMUNITY TABLE-PANTRY INC,12 MUDGE WAY,BEDFORD,MA,01730-2147,P60Z,NA
043136112,EDWARD L COOPER COMMUNITY GARDENING AND EDUCATION CENTER INC,32-34 LINWOOD STREET,ROXBURY,MA,02119-0000,K99,NA
043158075,MEDFIELD FOOD CUPBOARD,PO BOX 172,MEDFIELD,MA,02052-0172,P20Z,NA
043169291,MAYNARD FOOD PANTRY INC,PO BOX 89,MAYNARD,MA,01754-0089,P20,NA
043174388,FOOD SHARE INC,PO BOX 32,SOUTHBRIDGE,MA,01550-0032,P20Z,NA
043193928,HARVARD SQUARE CHURCHES MEAL PROGRAM INC,0 GARDEN ST,CAMBRIDGE,MA,02138-3631,K30Z,NA
043194006,CHELMSFORD COMMUNITY EXCHANGE INC,PO BOX 523,WESTFORD,MA,01886-0015,K31,NA
043214054,FRIENDS OF GRAFTON INC GRAFTON FOOD BANK,PO BOX 324,GRAFTON,MA,01519-0324,K31,NA
043218895,NEWTON FOOD PANTRY INC,1000 COMMONWEALTH AVE,NEWTON CENTER,MA,02459-1449,K30,NA
043225287,HUDSON COMMUNITY FOOD PANTRY INC,PO BOX 608,HUDSON,MA,01749-0608,P60Z,NA
043228313,CENTRAL FOOD MINISTRY INC,370 W 6TH ST,LOWELL,MA,01850-1001,P20Z,NA
043232903,CHIP-IN FOOD PANTRY OF CHARLTON INC,PO BOX 611,CHARLTON,MA,01507-0611,P20,NA
043236765,STEARNS ORGANIC FARM-CSA INC,862 EDMANDS RD,FRAMINGHAM,MA,01701-3086,K99,NA
043237546,SUDBURY COMMUNITY FOOD PANTRY,PO BOX 751,SUDBURY,MA,01776-0751,K31Z,GOTTMANN ED
043238043,FRIDAY NIGHT SUPPER PROGRAM INC,351 BOYLSTON ST,BOSTON,MA,02116-3303,K30Z,NA
043255009,O F T INC,PO BOX 916,MARLBOROUGH,MA,01752-0916,K31,OUR FATHERS TABLE
043261186,COMMUNITY FARMS OUTREACH,240 BEAVER ST,WALTHAM,MA,02452-8022,K20,WALTHAM FIELDS COMMUNITY FARM
043272663,FRANKLIN FOOD PANTRY INCORPORATED,341 W CENTRAL ST,FRANKLIN,MA,02038-1832,P20Z,NA
